,YEAR,Commodity,Import,Export,Difference,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,meantemp,humidity,wind_speed,meanpressure
0,2015,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",4968.62,3959.1600000000008,-1009.4599999999991,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
1,2015,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,365.9399999999999,249.56000000000003,-116.37999999999985,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
2,2015,ALUMINIUM AND ARTICLES THEREOF.,3428.5899999999992,2614.3600000000006,-814.2299999999987,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
3,2015,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,10530.300000000003,877.1899999999996,-9653.110000000004,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
4,2015,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,28.270000000000003,124.52000000000002,96.25000000000003,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
5,2015,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",253.45,7664.35,7410.900000000001,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
6,2015,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",326.5299999999999,9321.960000000005,8995.430000000004,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
7,2015,ARTICLES OF IRON OR STEEL,3740.4300000000007,6163.020000000005,2422.5900000000042,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
8,2015,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",323.0799999999998,2386.2299999999996,2063.1499999999996,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
9,2015,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",620.58,1333.9999999999998,713.4199999999997,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
10,2015,"BEVERAGES, SPIRITS AND VINEGAR.",558.4899999999999,320.25999999999993,-238.22999999999996,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
11,2015,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,92.62999999999998,1726.4699999999998,1633.84,82.4871319102354,52.12988505747124,16.840191570881196,24.5343185550082,34.37121510673244,22.418253968253968,4.7362725779967185,12.063940886699529,34.34927203065136,3.2610399562123678,7.285719759168036,1.0270717022441154,212.4630541871921,25.11459148727984,61.430490052185235,6.480602984344424,1008.8348214285711
